PERMNO,date,TICKER,PRC,ewretd
92611,20081001,V,61.31,-0.004615
92611,20081002,V,57.59,-0.039095
92611,20081003,V,56.84,-0.016888
92611,20081006,V,55.38,-0.059322
92611,20081007,V,51.15,-0.047021
92611,20081008,V,52.63,-0.026835
92611,20081009,V,49.85,-0.063671
92611,20081010,V,52,-0.006462
92611,20081013,V,58.87,0.107422
92611,20081014,V,57.61,-0.001674
92611,20081015,V,49.75,-0.070781
92611,20081016,V,53.07,0.029535
92611,20081017,V,52.22,0.00163
92611,20081020,V,52.01,0.035555
92611,20081021,V,50.7,-0.020675
92611,20081022,V,48.51,-0.048848
92611,20081023,V,48.32,-0.020278
92611,20081024,V,47.98,-0.031303
92611,20081027,V,46.59,-0.035385
92611,20081028,V,49.97,0.050386
92611,20081029,V,50.69,0.021629
92611,20081030,V,54.25,0.035643
92611,20081031,V,55.35,0.033921
92611,20081103,V,52.49,0.008679
92611,20081104,V,59.81,0.026558
92611,20081105,V,56.47,-0.037383
92611,20081106,V,51.53,-0.038082
92611,20081107,V,53.5,0.014462
92611,20081110,V,51.99,-0.01919
92611,20081111,V,53.79,-0.028206
92611,20081112,V,51.75,-0.053999
92611,20081113,V,54.44,0.04847
92611,20081114,V,54.24,-0.039602
92611,20081117,V,52.76,-0.022056
92611,20081118,V,54.64,-0.010726
92611,20081119,V,51.58,-0.064334
92611,20081120,V,48.14,-0.06704
92611,20081121,V,46.38,0.033462
92611,20081124,V,49.72,0.063643
92611,20081125,V,49.53,0.015473
92611,20081126,V,52,0.052113
92611,20081128,V,52.56,0.020016
92611,20081201,V,48.05,-0.07824
92611,20081202,V,49.68,0.035206
92611,20081203,V,52.44,0.014731
92611,20081204,V,50.81,-0.02185
92611,20081205,V,53.18,0.026043
92611,20081208,V,56.16,0.037923
92611,20081209,V,53.53,-0.014899
92611,20081210,V,53.16,0.022018
92611,20081211,V,52.09,-0.026441
92611,20081212,V,52.95,0.017837
92611,20081215,V,52.75,-0.019337
92611,20081216,V,54.77,0.046643
92611,20081217,V,55.36,0.010979
92611,20081218,V,54.7,-0.011857
92611,20081219,V,54.97,0.003826
92611,20081222,V,53.75,-0.012689
92611,20081223,V,53.65,-0.007736
92611,20081224,V,52.89,0.005042
92611,20081226,V,53.25,0.011107
92611,20081229,V,52.17,-0.015163
92611,20081230,V,50.99,0.021418
92611,20081231,V,52.45,0.034456
92611,20090102,V,53.44,0.038274
92611,20090105,V,53.82,0.016764
92611,20090106,V,57.61,0.033647
92611,20090107,V,56.36,-0.022271
92611,20090108,V,55.76,0.011896
92611,20090109,V,55.62,-0.018748
92611,20090112,V,52.96,-0.026589
92611,20090113,V,53.14,0.003554
92611,20090114,V,50.97,-0.035065
92611,20090115,V,49.38,0.00563
92611,20090116,V,47.41,0.008792
92611,20090120,V,42.42,-0.051506
92611,20090121,V,44.18,0.036151
92611,20090122,V,44.18,-0.02196
92611,20090123,V,44.32,0.003373
92611,20090126,V,42.59,0.010067
92611,20090127,V,44.15,0.010037
92611,20090128,V,47.22,0.030523
92611,20090129,V,46.27,-0.02889
92611,20090130,V,49.35,-0.012829
92611,20090202,V,49.97,0.001559
92611,20090203,V,48.39,0.008983
92611,20090204,V,49.13,-0.004053
92611,20090205,V,53.74,0.011978
92611,20090206,V,55.41,0.026723
92611,20090209,V,55.32,0.000768
92611,20090210,V,53.85,-0.035051
92611,20090211,V,54.96,0.004636
92611,20090212,V,56.4,-0.000766
92611,20090213,V,55.95,-0.002111
92611,20090217,V,54.25,-0.041883
92611,20090218,V,56.15,-0.011621
92611,20090219,V,55.63,-0.015135
92611,20090220,V,55.66,-0.02002
92611,20090223,V,54.25,-0.030842
92611,20090224,V,56.35,0.03775
92611,20090225,V,55.42,-0.015518
92611,20090226,V,56.06,-0.007036
92611,20090227,V,56.71,-0.010451
92611,20090302,V,54.16,-0.055698
92611,20090303,V,54.36,-0.013924
92611,20090304,V,55.29,0.02968
92611,20090305,V,53.42,-0.049091
92611,20090306,V,50.19,-0.002234
92611,20090309,V,49.8,-0.016324
92611,20090310,V,52.87,0.06263
92611,20090311,V,51.37,0.005505
92611,20090312,V,54.09,0.05127
92611,20090313,V,52.05,0.009588
92611,20090316,V,52.17,0.001275
92611,20090317,V,55.29,0.030369
92611,20090318,V,56.31,0.034165
92611,20090319,V,52.69,0.00767
92611,20090320,V,52.53,-0.014139
92611,20090323,V,55.54,0.064792
92611,20090324,V,53.6,-0.016054
92611,20090325,V,52.75,0.017815
92611,20090326,V,55.5,0.035827
92611,20090327,V,54.25,-0.021526
92611,20090330,V,53.5,-0.031869
92611,20090331,V,55.6,0.020144
92611,20090401,V,54.29,0.015828
92611,20090402,V,55.59,0.039004
92611,20090403,V,60.08,0.012703
92611,20090406,V,59.13,-0.007213
92611,20090407,V,57.15,-0.020098
92611,20090408,V,57.82,0.017512
92611,20090409,V,58.79,0.04586
92611,20090413,V,61.11,0.007468
92611,20090414,V,58.33,-0.012727
92611,20090415,V,59.11,0.013648
